lisa_variable,lisa_label,lisa_cluster,count,percentage,indicator,indicator_name,dimension,dimension_name,direction,unit,local_weight,weight,raw_mean,normalized_mean,shortboard_strength
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.4776176549807316,0.5635168931798158,0.043790520484227546
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,2.8038927771213675,0.7571148170606727,0.060305464235762336
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,47.76550441178955,0.928414335813438,0.02079555488201111
lisa_sdg_index_2024_cluster,2024年综合指数LISA,LH 低值-高邻,119,0.39456233421750664,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,113.57566987366235,0.5507008326795901,0.20722269552996414
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,51.297391063679804,0.06766594897111847,0.41338027113537384
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.697019601330508,0.24881456460701507,0.08794233110341729
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.22265092068103218,0.22265092068103218,0.34168103179369635
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,339.0185619956553,0.7796495765880385,0.07070217681847027
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,101.35055868567682,0.8498338868333017,0.05902153699786378
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,63.430445175680745,0.8860873592167502,0.03258993935305974
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.6763374575097532,0.6714129987462054,0.02094892222115796
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.13837337563446286,0.13837337563446286,0.7202506038897047
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.4369391758862548,0.49614199702139583,0.050549961397855954
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,slope,D4.1 地形坡度,D4,D4 环境约束,negative,度,0.2482879503227113,0.0620719875806778,2.074355140420429,0.821740421651243,0.044259705333603655
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,climate_water_stress,D4.2 气候水分亏缺,D4,D4 环境约束,negative,mm,0.2904988745765502,0.0726247186441375,251.8741540556363,0.622518827519158,0.10965785577952124
lisa_sdg_index_2024_cluster,2024年综合指数LISA,Not significant,14776,48.9920424403183,cold_stress,D4.3 低温冷胁迫,D4,D4 环境约束,negative,℃·月,0.4612131751007384,0.1153032937751846,105.73656190642164,0.595197121751632,0.18670042076684745
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,pop_density,D1.1 人口密度,D1,D1 人类活动,positive,人/km2,0.4433821447143179,0.1108455361785794,44.54398418988609,0.06120274963808314,0.41624593831737117
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,nightlight,D1.2 夜间灯光强度,D1,D1 人类活动,positive,nW/cm2/sr,0.1170714006953689,0.0292678501738422,0.6025645557322928,0.22560739471702304,0.09065922698861403
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,cropland_ratio,D1.3 耕地/农田比例,D1,D1 人类活动,positive,比例(0-1),0.4395464545903131,0.1098866136475782,0.18824978496327519,0.18824978496327519,0.35680192903231667
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,dist_port,D2.1 距边境口岸距离,D2,D2 通达性,negative,km,0.3208624504718436,0.0802156126179609,417.82837815452734,0.7252346061814675,0.08816189756547547
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,dist_city,D2.2 距最近城市/城镇节点距离,D2,D2 通达性,negative,km,0.3930416506974807,0.0982604126743701,111.02573686990803,0.834168246931643,0.06517878596404403
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,dist_major_road,D2.3 距主要道路距离,D2,D2 通达性,negative,km,0.2860958988306757,0.0715239747076689,81.79802656826463,0.8542200161568396,0.04170705550913035
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,ndvi,D3.1 NDVI,D3,D3 生态状态,positive,无量纲,0.0637545677133387,0.0159386419283346,0.7009472870420209,0.7106077466334105,0.0184500780129759
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,forest_ratio,D3.2 林地覆盖率,D3,D3 生态状态,positive,比例(0-1),0.8359196240251567,0.2089799060062891,0.2707540878652164,0.2707540878652164,0.6095909686935909
lisa_change_rate_2010_2024_cluster,2010-2024变化率LISA,HH 高值集聚,4648,15.411140583554378,npp,D3.3 净初级生产力,D3,D3 生态状态,positive,kgC/m2,0.1003258082615044,0.0250814520653761,0.4653673567151949,0.5440690872209292,0.04574163733596575
